ID,Link,Address,Sale Type,Sale Date,Price,Page Number
e2877833-8d60-4b7f-baff-4e116eaf5789,/adresse/slettebjergvej-2-1-tv-2750-ballerup-01510313___2__1__tv,,Fri handel,25-06-1999,565.000,9
963a54b9-14df-4946-b10e-09b66c513233,/adresse/skovvej-7-2750-ballerup-01510309___7_______,,Skovvej 72750 Ballerup,Tvangsauktion,21-03-2017,9
963a54b9-14df-4946-b10e-09b66c513233,/adresse/skovvej-7-2750-ballerup-01510309___7_______,,Fri handel,19-03-1992,970.000,9
3672b484-ea58-4ba6-bbb5-bc28ddb1fe81,/adresse/skovshovedvej-27a-2920-charlottenlund-01570736_27a_______,,Skovshovedvej 27A2920 Charlottenlund,Tvangsauktion,09-04-1992,9
f164e50e-9aaa-4999-8f49-c0787dd22716,/adresse/skovbrynet-61-2880-bagsvaerd-01590757__61_______,,Skovbrynet 612880 Bagsværd,Tvangsauktion,18-02-2019,9
bca4bf6a-b889-46fb-a0dc-b1066661c71e,/adresse/skovbrynet-25-2800-kongens-lyngby-01730722__25_______,,Skovbrynet 252800 Kongens Lyngby,Tvangsauktion,20-05-1994,9
bca4bf6a-b889-46fb-a0dc-b1066661c71e,/adresse/skovbrynet-25-2800-kongens-lyngby-01730722__25_______,,Fri handel,22-04-1994,847.940,9
d17c2df8-bc19-4424-b7cb-4dac53e1b889,/adresse/skovbrinken-5-2920-charlottenlund-01570717___5_______,,Skovbrinken 52920 Charlottenlund,Tvangsauktion,28-07-2010,9
d17c2df8-bc19-4424-b7cb-4dac53e1b889,/adresse/skovbrinken-5-2920-charlottenlund-01570717___5_______,,Fri handel,22-01-2000,4.500.000,9
d17c2df8-bc19-4424-b7cb-4dac53e1b889,/adresse/skovbrinken-5-2920-charlottenlund-01570717___5_______,,Fri handel,08-09-1999,4.500.000,9
dbd27f72-dab1-480a-89c7-46e755f960c5,/adresse/skolelodden-9-2605-broendby-01530601___9_______,,Skolelodden 92605 Brøndby,Tvangsauktion,10-09-1992,9
61e39bbb-f180-4a4d-b434-0c30788ae5fe,/adresse/skjoldagervej-92-0-tv-2820-gentofte-01570705__92_st__tv,,"Skjoldagervej 92, st. tv.2820 Gentofte",Tvangsauktion,02-12-1992,9
c48177f5-b15e-4982-af1b-5e9bbe7a6914,/adresse/skjoldagervej-80-2-tv-2820-gentofte-01570705__80__2__tv,,"Skjoldagervej 80, 2. tv.2820 Gentofte",Tvangsauktion,23-05-2005,9
c48177f5-b15e-4982-af1b-5e9bbe7a6914,/adresse/skjoldagervej-80-2-tv-2820-gentofte-01570705__80__2__tv,,Fri handel,18-04-1999,905.000,9
c48177f5-b15e-4982-af1b-5e9bbe7a6914,/adresse/skjoldagervej-80-2-tv-2820-gentofte-01570705__80__2__tv,,Fri handel,06-07-1992,510.000,9
11e65f42-fb47-4e1f-845b-5e989be46c19,/adresse/skjeberg-alle-33-0-tv-2630-taastrup-01696800__33_st__tv,,"Skjeberg Alle 33, st. tv.2630 Taastrup",Tvangsauktion,23-05-2012,9
11e65f42-fb47-4e1f-845b-5e989be46c19,/adresse/skjeberg-alle-33-0-tv-2630-taastrup-01696800__33_st__tv,,Fri handel,11-12-2006,1.125.000,9
