Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Total Sales,City,Floor_Count,Heating_Type,Link,Living_Area,Roof_Type,Rooms,URL,Wall_Material,Weighted_Area
jernbane-alle-6-2630-taastrup-01693546___6_______,Jernbane Alle 6,2630,Villa,Tvangsauktion,12-01-2023,3725157.0,3,Taastrup,1.0,Fjernvarme/blokvarme,/adresse/jernbane-alle-6-2630-taastrup-01693546___6_______,245.0,Tegl,7.0,https://www.boligsiden.dk/adresse/jernbane-alle-6-2630-taastrup-01693546___6_______,Mursten,247.6
ved-renden-47-2870-dyssegaard-01570920__47_______,Ved Renden 47,2870,Villa,Tvangsauktion,02-11-2022,6920000.0,3,Dyssegård,1.0,Centralvarme med én fyringsenhed,/adresse/ved-renden-47-2870-dyssegaard-01570920__47_______,145.0,Tegl,6.0,https://www.boligsiden.dk/adresse/ved-renden-47-2870-dyssegaard-01570920__47_______,Mursten,179.35
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",2820,Ejerlejlighed,Tvangsauktion,02-11-2022,1860000.0,3,Gentofte,1,Fjernvarme/blokvarme,/adresse/gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,47.0,Tagpap med stor hældning,1.0,https://www.boligsiden.dk/adresse/gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,Mursten,Ikke oplyst
boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,"Boulevarden 14, st. 65.",2800,Ejerlejlighed,Tvangsauktion,24-08-2022,4350000.0,1,Kongens Lyngby,1,Centralvarme med én fyringsenhed,/adresse/boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,115.0,Tagpap med lille hældning,4.0,https://www.boligsiden.dk/adresse/boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,Fibercement uden asbest,Ikke oplyst
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",2630,Ejerlejlighed,Tvangsauktion,07-07-2022,1350000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/leen-d-2-1-4-2630-taastrup-01694320___2__1___4,57.0,Tagpap med lille hældning,2.0,https://www.boligsiden.dk/adresse/leen-d-2-1-4-2630-taastrup-01694320___2__1___4,Betonelementer,Ikke oplyst
topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",2620,Ejerlejlighed,Tvangsauktion,21-04-2022,1020000.0,3,Albertslund,1,Fjernvarme/blokvarme,/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,33.0,Fibercement herunder asbest,1.0,https://www.boligsiden.dk/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,Betonelementer,Ikke oplyst
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",2630,Ejerlejlighed,Tvangsauktion,11-01-2022,2240000.0,3,Taastrup,1,Fjernvarme/blokvarme,/adresse/lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,82.0,Betontagsten,3.0,https://www.boligsiden.dk/adresse/lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,Mursten,Ikke oplyst
landsbygaden-30a-2630-taastrup-01694288_30a_______,Landsbygaden 30A,2630,Rækkehus,Tvangsauktion,20-05-2021,2650000.0,1,Taastrup,1.0,Centralvarme med én fyringsenhed,/adresse/landsbygaden-30a-2630-taastrup-01694288_30a_______,85.0,Fibercement uden asbest,2.0,https://www.boligsiden.dk/adresse/landsbygaden-30a-2630-taastrup-01694288_30a_______,Mursten,197
landsbygaden-30b-2630-taastrup-01694288_30b_______,Landsbygaden 30B,2630,Rækkehus,Tvangsauktion,20-05-2021,2650000.0,1,,,,,,,,,,
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,2620,Villa,Tvangsauktion,25-01-2021,3087200.0,3,Albertslund,1.0,Fjernvarme/blokvarme,/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,136.0,Tegl,5.0,https://www.boligsiden.dk/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,Mursten,164.7
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,2620,Villa,Tvangsauktion,11-04-2016,841132.0,3,Albertslund,1.0,Fjernvarme/blokvarme,/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,136.0,Tegl,5.0,https://www.boligsiden.dk/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,Mursten,164.7
vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,"Vejlebrovej 95, 3. 49.",2635,Ejerlejlighed,Tvangsauktion,20-10-2020,1130000.0,3,Ishøj,4.0,Fjernvarme/blokvarme,/adresse/vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,46.0,Tagpap med lille hældning,2.0,https://www.boligsiden.dk/adresse/vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,Mursten,Ikke oplyst
tranedalen-19-2635-ishoej-01830760__19_______,Tranedalen 19,2635,Villa,Tvangsauktion,20-10-2020,2600000.0,3,Ishøj,1.0,Fjernvarme/blokvarme,/adresse/tranedalen-19-2635-ishoej-01830760__19_______,144.0,Metal,4.0,https://www.boligsiden.dk/adresse/tranedalen-19-2635-ishoej-01830760__19_______,Mursten,144
bellevuekrogen-16-2930-klampenborg-01570043__16_______,Bellevuekrogen 16,2930,Rækkehus,Tvangsauktion,02-09-2020,6600000.0,1,Klampenborg,2.0,Centralvarme med én fyringsenhed,/adresse/bellevuekrogen-16-2930-klampenborg-01570043__16_______,124.0,Fibercement herunder asbest,4.0,https://www.boligsiden.dk/adresse/bellevuekrogen-16-2930-klampenborg-01570043__16_______,Mursten,148.8
aertemarken-119a-0-tv-2860-soeborg-01590981119a_st__tv,"Ærtemarken 119A, st. tv.",2860,Villalejlighed,Tvangsauktion,05-08-2020,8592634.0,2,,,,,,,,,,
