ID,Link,Address,Property Type,Sale Type,Sale Date,Price,Page Number,Is Auction
317d176e-dcb6-47a2-a75d-380c04b039cc,/adresse/vinkelvaenget-16-2610-roedovre-01750962__16_______,,Villa,Fri handel,16-07-1999,1.610.000,2,False
317d176e-dcb6-47a2-a75d-380c04b039cc,/adresse/vinkelvaenget-16-2610-roedovre-01750962__16_______,,Villa,Fri handel,25-08-1992,762.675,2,False
f74a60b3-6b45-4a2c-aa66-ef16ffe1a435,/adresse/dalbugten-27a-2730-herlev-01630886_27a_______,,Villa,Dalbugten 27A2730 Herlev,Fri handel,23-02-2025,2,False
f74a60b3-6b45-4a2c-aa66-ef16ffe1a435,/adresse/dalbugten-27a-2730-herlev-01630886_27a_______,,Villa,Fri handel,28-03-2024,5.550.000,2,False
92b7e2ec-9fb7-434d-a934-a4a6ab63b742,/adresse/kratlodden-23-2760-maaloev-01510756__23_______,,Villa,Kratlodden 232760 Måløv,Familie handel,23-02-2025,2,False
92b7e2ec-9fb7-434d-a934-a4a6ab63b742,/adresse/kratlodden-23-2760-maaloev-01510756__23_______,,Villa,Fri handel,29-01-2018,4.520.000,2,False
92b7e2ec-9fb7-434d-a934-a4a6ab63b742,/adresse/kratlodden-23-2760-maaloev-01510756__23_______,,Villa,Fri handel,24-10-2001,2.013.542,2,False
96b8515f-99a7-4ab2-9d74-6414c95b3796,/adresse/oktobervej-69-2860-soeborg-01590633__69_______,,Villa,Oktobervej 692860 Søborg,Fri handel,20-02-2025,2,False
28e25812-93ac-4139-bc4f-1c162b050f1f,/adresse/tranevej-35-2650-hvidovre-01678871__35_______,,Villa,Tranevej 352650 Hvidovre,Fri handel,20-02-2025,2,False
28e25812-93ac-4139-bc4f-1c162b050f1f,/adresse/tranevej-35-2650-hvidovre-01678871__35_______,,Villa,Fri handel,26-01-2015,798.500,2,False
28e25812-93ac-4139-bc4f-1c162b050f1f,/adresse/tranevej-35-2650-hvidovre-01678871__35_______,,Villa,Fri handel,13-09-2005,2.175.000,2,False
fb6b63cb-4edb-4bce-8c1e-4f6d6460b1e9,/adresse/landlyst-vaenge-6-2635-ishoej-01830385___6_______,,Villa,Landlyst Vænge 62635 Ishøj,Fri handel,20-02-2025,2,False
fb6b63cb-4edb-4bce-8c1e-4f6d6460b1e9,/adresse/landlyst-vaenge-6-2635-ishoej-01830385___6_______,,Villa,Fri handel,27-05-1992,793.000,2,False
