Property_ID,Address,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code,Price,Property_Type,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,"Boulevarden 14, st. 65.",Kongens Lyngby,N/A,5,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,115,2800,4585000,Ejerlejlighed,Tagpap med lille hældning,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,Fibercement uden asbest,Ikke oplyst
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/leen-d-2-1-4-2630-taastrup-01694320___2__1___4,57,2630,1382000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-d-2-1-4-2630-taastrup-01694320___2__1___4,Betonelementer,Ikke oplyst
topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",Albertslund,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,33,2620,895000,Ejerlejlighed,Fibercement herunder asbest,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/topperne-7-0-2-2620-albertslund-01650532___7_st___2,Betonelementer,Ikke oplyst
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",Taastrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,82,2630,2220000,Ejerlejlighed,Betontagsten,3,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,Mursten,Ikke oplyst
landsbygaden-30a-2630-taastrup-01694288_30a_______,Landsbygaden 30A,Taastrup,N/A,1,Centralvarme med én fyringsenhed,1976,/adresse/landsbygaden-30a-2630-taastrup-01694288_30a_______,85,2630,3439000,Rækkehus,Fibercement uden asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/landsbygaden-30a-2630-taastrup-01694288_30a_______,Mursten,197
herstedvestervej-12-2620-albertslund-01650190__12_______,Herstedvestervej 12,Albertslund,N/A,1,Fjernvarme/blokvarme,Ikke oplyst,/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,136,2620,3219000,Villa,Tegl,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/herstedvestervej-12-2620-albertslund-01650190__12_______,Mursten,164.7
vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,"Vejlebrovej 95, 3. 49.",Ishøj,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,46,2635,1312000,Ejerlejlighed,Tagpap med lille hældning,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vejlebrovej-95-3-49-2635-ishoej-01830850__95__3__49,Mursten,Ikke oplyst
tranedalen-19-2635-ishoej-01830760__19_______,Tranedalen 19,Ishøj,N/A,1,Fjernvarme/blokvarme,2000,/adresse/tranedalen-19-2635-ishoej-01830760__19_______,144,2635,3063000,Villa,Metal,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/tranedalen-19-2635-ishoej-01830760__19_______,Mursten,144
bellevuekrogen-16-2930-klampenborg-01570043__16_______,Bellevuekrogen 16,Klampenborg,N/A,2,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/bellevuekrogen-16-2930-klampenborg-01570043__16_______,124,2930,10710000,Rækkehus,Fibercement herunder asbest,4,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/bellevuekrogen-16-2930-klampenborg-01570043__16_______,Mursten,148.8
taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,"Taastrup Have 38, 1. mf.",Taastrup,N/A,3,Fjernvarme/blokvarme,Ikke oplyst,/adresse/taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,41,2630,1272000,Ejerlejlighed,Fibercement herunder asbest,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/taastrup-have-38-1-mf-2630-taastrup-01698960__38__1__mf,Mursten,Ikke oplyst
nyhoejsvej-12-2630-taastrup-01695495__12_______,Nyhøjsvej 12,Taastrup,N/A,1,Fjernvarme/blokvarme,1987,/adresse/nyhoejsvej-12-2630-taastrup-01695495__12_______,158,2630,3278000,Villa,Fibercement herunder asbest,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/nyhoejsvej-12-2630-taastrup-01695495__12_______,Mursten,160.6
topperne-5-2-22-2620-albertslund-01650532___5__2__22,"Topperne 5, 2. 22.",Albertslund,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/topperne-5-2-22-2620-albertslund-01650532___5__2__22,49,2620,1255000,Ejerlejlighed,Fibercement herunder asbest,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/topperne-5-2-22-2620-albertslund-01650532___5__2__22,Betonelementer,Ikke oplyst
christiansdal-4-2610-roedovre-01750122___4_______,Christiansdal 4,Rødovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/christiansdal-4-2610-roedovre-01750122___4_______,140,2610,6601000,Villa,Tegl,6,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/christiansdal-4-2610-roedovre-01750122___4_______,Mursten,175.65
krarupvej-23-2610-roedovre-01750474__23_______,Krarupvej 23,Rødovre,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/krarupvej-23-2610-roedovre-01750474__23_______,183,2610,6153000,Villa,Tegl,8,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/krarupvej-23-2610-roedovre-01750474__23_______,Letbetonsten,193
leen-d-2-3-4-2630-taastrup-01694320___2__3___4,"Leen D 2, 3. 4.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,35,2630,897000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/leen-d-2-3-4-2630-taastrup-01694320___2__3___4,Betonelementer,Ikke oplyst
hedegraensen-40-2605-broendby-01530231__40_______,Hedegrænsen 40,Brøndby,N/A,1,Fjernvarme/blokvarme,1962,/adresse/hedegraensen-40-2605-broendby-01530231__40_______,152,2605,5238000,Villa,Fibercement herunder asbest,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/hedegraensen-40-2605-broendby-01530231__40_______,Mursten,208.2
skovbrynet-61-2880-bagsvaerd-01590757__61_______,Skovbrynet 61,Bagsværd,N/A,1,Centralvarme med én fyringsenhed,2001,/adresse/skovbrynet-61-2880-bagsvaerd-01590757__61_______,169,2880,8636000,Villa,Metal,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/skovbrynet-61-2880-bagsvaerd-01590757__61_______,Betonelementer,183
fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,"Fuglegårdsvænget 90, 1. th.",Gentofte,N/A,2,Elvarme,Ikke oplyst,/adresse/fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,51,2820,1765000,Ejerlejlighed,Tegl,2,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/fuglegaardsvaenget-90-1-th-2820-gentofte-01570262__90__1__th,Mursten,Ikke oplyst
lilliendalsvej-18-2600-glostrup-01610298__18_______,Lilliendalsvej 18,Glostrup,N/A,1,Centralvarme med én fyringsenhed,Ikke oplyst,/adresse/lilliendalsvej-18-2600-glostrup-01610298__18_______,171,2600,4107000,Rækkehus,Betontagsten,5,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/lilliendalsvej-18-2600-glostrup-01610298__18_______,Mursten,168.2
saven-c-4-0-2-2630-taastrup-01696694___4_st___2,"Saven C 4, st. 2.",Taastrup,N/A,4,Fjernvarme/blokvarme,Ikke oplyst,/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,36,2630,938000,Ejerlejlighed,Tagpap med lille hældning,1,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/saven-c-4-0-2-2630-taastrup-01696694___4_st___2,Betonelementer,Ikke oplyst
