Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",2820,Ejerlejlighed,Tvangsauktion,02-11-2022,1860000.0,1,3
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",2820,Ejerlejlighed,Fri handel,27-07-2021,2160000.0,2,3
gentoftegade-36-3-mf-2820-gentofte-01570278__36__3__mf,"Gentoftegade 36, 3. mf.",2820,Ejerlejlighed,Fri handel,10-08-2020,1495000.0,3,3
boulevarden-14-0-65-2800-kongens-lyngby-01730086__14_st__65,"Boulevarden 14, st. 65.",2800,Ejerlejlighed,Tvangsauktion,24-08-2022,4350000.0,1,1
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",2630,Ejerlejlighed,Tvangsauktion,07-07-2022,1350000.0,1,3
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",2630,Ejerlejlighed,Fri handel,08-04-1998,462000.0,2,3
leen-d-2-1-4-2630-taastrup-01694320___2__1___4,"Leen D 2, 1. 4.",2630,Ejerlejlighed,Familie handel,29-09-1996,361771.0,3,3
topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",2620,Ejerlejlighed,Tvangsauktion,21-04-2022,1020000.0,1,3
topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",2620,Ejerlejlighed,Fri handel,01-05-2017,625000.0,2,3
topperne-7-0-2-2620-albertslund-01650532___7_st___2,"Topperne 7, st. 2.",2620,Ejerlejlighed,Fri handel,01-03-2013,269000.0,3,3
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",2630,Ejerlejlighed,Tvangsauktion,11-01-2022,2240000.0,1,3
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",2630,Ejerlejlighed,Fri handel,09-02-2007,1745000.0,2,3
lindevangshusene-82-0-th-2630-taastrup-01694520__82_st__th,"Lindevangshusene 82, st. th.",2630,Ejerlejlighed,Fri handel,28-04-2002,1042236.0,3,3
landsbygaden-30a-2630-taastrup-01694288_30a_______,Landsbygaden 30A,2630,Rækkehus,Tvangsauktion,20-05-2021,2650000.0,1,1
