Property ID,Address,Postal_Code,Property_Type,Sale Type,Sale Date,Price,Sale Index,Total Sales,Address_details,City,Floor,Floor_Count,Heating_Type,Last_Remodel_Year,Link,Living_Area,Postal_Code_details,Price_details,Property_Type_details,Roof_Type,Rooms,Scrape_Date,Source_Site,URL,Wall_Material,Weighted_Area
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Tvangsauktion,16-09-2024,4459254.0,1,3,"Vangeporten 3, 1.",Charlottenlund,N/A,2.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,121.0,2920.0,7004000.0,Ejerlejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,Mursten,Ikke oplyst
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Fri handel,08-12-2003,2475000.0,2,3,"Vangeporten 3, 1.",Charlottenlund,N/A,2.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,121.0,2920.0,7004000.0,Ejerlejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,Mursten,Ikke oplyst
vangeporten-3-1-2920-charlottenlund-01570907___3__1____,"Vangeporten 3, 1.",2920,Ejerlejlighed,Fri handel,12-10-1998,1950000.0,3,3,"Vangeporten 3, 1.",Charlottenlund,N/A,2.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,121.0,2920.0,7004000.0,Ejerlejlighed,Tegl,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/vangeporten-3-1-2920-charlottenlund-01570907___3__1____,Mursten,Ikke oplyst
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Tvangsauktion,15-08-2024,16804894.0,1,3,Gamlehave Alle 12,Charlottenlund,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,302.0,2920.0,21603000.0,Villa,Tegl,11.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Mursten,352.9
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Fri handel,02-09-2004,8150000.0,2,3,Gamlehave Alle 12,Charlottenlund,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,302.0,2920.0,21603000.0,Villa,Tegl,11.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Mursten,352.9
gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Gamlehave Alle 12,2920,Villa,Familie handel,30-08-2002,3575000.0,3,3,Gamlehave Alle 12,Charlottenlund,N/A,1.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,302.0,2920.0,21603000.0,Villa,Tegl,11.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gamlehave-alle-12-2920-charlottenlund-01570267__12_______,Mursten,352.9
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Tvangsauktion,07-04-2024,1435000.0,1,3,"Murskeen 2, 2. 23.",Taastrup,N/A,4.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,71.0,2630.0,1747000.0,Ejerlejlighed,Tagpap med lille hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Betonelementer,Ikke oplyst
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Fri handel,30-11-2006,1365000.0,2,3,"Murskeen 2, 2. 23.",Taastrup,N/A,4.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,71.0,2630.0,1747000.0,Ejerlejlighed,Tagpap med lille hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Betonelementer,Ikke oplyst
murskeen-2-2-23-2630-taastrup-01695125___2__2__23,"Murskeen 2, 2. 23.",2630,Ejerlejlighed,Fri handel,22-12-2004,1019000.0,3,3,"Murskeen 2, 2. 23.",Taastrup,N/A,4.0,Fjernvarme/blokvarme,Ikke oplyst,/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,71.0,2630.0,1747000.0,Ejerlejlighed,Tagpap med lille hældning,2.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/murskeen-2-2-23-2630-taastrup-01695125___2__2__23,Betonelementer,Ikke oplyst
gerdasvej-51-2600-glostrup-01610169__51_______,Gerdasvej 51,2600,Villa,Tvangsauktion,01-04-2024,1400000.0,1,3,Gerdasvej 51,Glostrup,N/A,1.0,Centralvarme med én fyringsenhed,1953,/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,91.0,2600.0,3470000.0,Villa,Tagpap med stor hældning,4.0,2025-04-27,boligsiden,https://www.boligsiden.dk/adresse/gerdasvej-51-2600-glostrup-01610169__51_______,Mursten,126.6
